"Drug","Serious - More common","Serious - Less common","Serious - Rare","Serious - Incidence not known","Serious - More common in children","Symptoms of overdose","More common","Less common","Rare","Incidence not known"
"isocarboxazid",,"Burning, crawling, itching, numbness, prickling, pins and needles, or tingling feelings; chills; cold sweats; confusion; difficult urination; dizziness, faintness, or lightheadedness when getting up from lying or sitting position; fainting; fast, irregular, pounding, or racing heartbeat or pulse; fear or nervousness; heavy feeling; increased need to urinate; passing urine more often; restlessness; shakiness in the legs, arms, hands, or feet; sudden jerky movements of the body; sweating; trembling or shaking of the hands or feet; trouble sitting still; ",,"Agitation; burning while urinating; change in consciousness; decrease in frequency of urination; decrease in urine volume; decreased urine output; depression; difficulty in passing urine (dribbling); dizziness; false or unusual sense of well-being; headache; hostility; irritability; loss of bladder control; loss of consciousness; muscle twitching; nausea; need to keep moving; numbness or tingling of the hands, feet, or face; rapid weight gain; seeing, hearing, or feeling things that are not there; seizures; shakiness and unsteady walk; stupor; swelling of the face, ankles, or hands; unsteadiness, trembling, or other problems with muscle control or coordination; unusual tiredness or weakness; ",,,"Constipation; dry mouth; ","Decreased interest in sexual intercourse; drowsiness; inability to have or keep an erection; loss in sexual ability, desire, drive, or performance; relaxed and calm; sleepiness; sleeplessness; trouble sleeping; unable to sleep; unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness; ",,"Black tongue; blurred vision; change in vision; impaired vision; increased sensitivity of the skin to sunlight; itching; raised, dark red, wart-like spots on the skin, especially when used on the face; redness or other discoloration of the skin; severe sunburn; skin rash; "
"lamotrigine","Blurred vision; changes in vision; clumsiness or unsteadiness; double vision; poor coordination; skin rash; ","Anxiety; chest pain; confusion; continuous, uncontrolled back and forth or rolling eye movements; depression; constipation; increase in seizures; infection; irritability; ","Blistering, peeling, or loosening of the skin; chills; cough; dark urine; diarrhea; fever; general feeling of discomfort or illness; headache; itching; joint pain; loss of appetite; memory loss; muscle cramps, pain, or weakness; nausea; red or irritated eyes; runny nose; shivering; small red or purple spots on the skin; sore throat; sores, ulcers, or white spots on the lips or in the mouth; swelling of the face, mouth, hands, or feet; swollen lymph nodes; trouble sleeping; trouble with breathing; unusual bleeding or bruising; unusual tiredness or weakness; vomiting; yellow eyes or skin; ","Back, leg, or stomach pains; bleeding gums; bloating; blood in the urine; bloody, black or tarry stools; bluish lips or skin; bruising; cough; coughing or vomiting blood; difficulty with breathing; difficulty with swallowing; fainting; fast heartbeat; general body swelling; general feeling of tiredness or weakness; heartburn; high fever; hoarseness; lightheadedness; loss of balance control; lower back or side pain; mask-like face; muscle spasms; nosebleeds; not breathing; pain or burning in the throat; painful or difficult urination; pains in the stomach, side, or abdomen, possibly radiating to the back; pale skin; persistent bleeding or oozing from puncture sites, mouth, or nose; rapid, shallow breathing; redness, soreness, or itching skin; shuffling walk; slowed movement; slurred speech; sores, welting, or blisters; stiffness of the arms and legs; swollen or painful glands; tic-like (jerky) movements; tightness in the chest; unexplained bleeding or bruising; ",,,"Dizziness; drowsiness; ","Indigestion; loss of strength; menstrual pain; pain; trembling or shaking; trouble with sleeping; unusual weight loss; ",,
"levetiracetam","Aggressive or angry; anxiety; change in personality; chills; cough; crying; deep or fast breathing with dizziness; delusions of persecution, mistrust, suspiciousness, or combativeness; diarrhea; dry mouth; false or unusual sense of well-being; feeling of unreality; fever; general feeling of discomfort or illness; headache; hoarseness; irregular heartbeat; irritability; joint pain; loss of appetite; lower back or side pain; mental depression; muscle aches and pains; nausea; numbness of the feet, hands, and around the mouth; painful or difficult urination; quick to react or overreact emotionally; rapidly changing moods; restlessness; sense of detachment from self or body; shaking; shivering; sleepiness or unusual drowsiness; sore throat; stuffy or runny nose; sweating; trouble sleeping; unusual tiredness or weakness; vomiting; ","Bloody nose; burning, crawling, itching, numbness, prickling, pins and needles, or tingling feelings; clumsiness or unsteadiness; discouragement; dizziness or lightheadedness; double vision; earache; feeling of constant movement of self or surroundings; feeling sad or empty; increase in body movements; loss of bladder control; loss of memory; mood or mental changes; outburst of anger; pain or tenderness around the eyes and cheekbones; problems with memory; redness or swelling in the ear; seizures; sensation of spinning; shakiness and unsteady walk; shakiness in the legs, arms, hands, or feet; tightness of the chest; trembling or shaking of the hands or feet; trouble concentrating; unsteadiness, trembling, or other problems with muscle control or coordination; ",,"Attempts at killing oneself; being forgetful; bleeding gums; blistering, peeling, or loosening of the skin; bloating; blood in the urine or stools; bloody, black, or tarry stools; blurred vision; changes in vision; chest pain; constipation; dark urine; difficulty with moving; fast heartbeat; fever with or without chills; general feeling of tiredness or weakness; high fever; indigestion; itching; light-colored stools; muscle pains or stiffness; pains in the stomach, side, or abdomen, possibly radiating to the back; pale skin; pinpoint red spots on the skin; red skin lesions, often with a purple center; red, irritated eyes; skin rash, encrusted, scaly, and oozing; sores, ulcers, or white spots on the lips or in the mouth; stomach pain, continuing; swollen glands; swollen joints; thoughts or attempts at killing oneself; trouble with balance; twitching, twisting, or uncontrolled repetitive movements of the tongue, lips, face, arms, or legs; uncontrolled jerking or twisting movements of the hands, arms, or legs; uncontrolled movements of the lips, tongue, or cheeks; unexplained bleeding or bruising; unusual bleeding or bruising; upper right abdominal or stomach pain; weight loss; yellow eyes or skin; ",,,"Loss of strength or energy; muscle pain or weakness; pain; tender, swollen glands in the neck; trouble swallowing; unusual weak feeling; voice changes; ","Body aches or pain; burning, dry, or itching eyes; change in the color of the skin; congestion; cough increased; sneezing; ",,"Hair loss or thinning of the hair"
"levomilnacipran","Difficult urination; fast, pounding, or irregular heartbeat or pulse; ","Anxiety; arm, back, or jaw pain; blurred vision; burning, crawling, itching, numbness, prickling, pins and needles, or tingling feelings; chest pain or discomfort; chest tightness or heaviness; cloudy urine; confusion; decrease in the frequency of urination; difficulty in passing urine (dribbling); difficulty with speaking; dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position; drooling; dry mouth; fainting; headache; irritability; loss of balance control; muscle trembling, jerking, or stiffness; nausea; painful urination; pounding in the ears; rapid or irregular heartbeat; restlessness; shaking; shuffling walk; slow heartbeat; stiffness of the limbs; sweating; trouble breathing; trouble sleeping; twisting movements of the body; uncontrolled movements, especially of the face, neck, and back; unusual tiredness or weakness; ",,,,,"Difficulty having a bowel movement (stool); increased sweating; loss in sexual ability, desire, drive, or performance; vomiting; ","Abdominal or stomach pain; bloated or full feeling; decreased appetite; dry eyes; dry skin; feeling of warmth; headache, severe and throbbing; hives or welts, itching, or rash; passing gas; red eye; red face, neck, arms, and occasionally, upper chest; sudden sweating; thirst; yawning",,
"lisdexamfetamine",,"Uncontrolled vocal outbursts or tics (uncontrolled repeated body movements); ",,"Agitation; blistering, peeling, or loosening of the skin; chest discomfort or pain; chills; confusion; cough; diarrhea; difficulty with breathing; difficulty with swallowing; discouragement; dizziness; faintness; fast, irregular, pounding, or racing heartbeat or pulse; feeling sad or empty; fever; hives or welts, itching, or skin rash; irritability; joint or muscle pain; lack of appetite; large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs; loss of interest or pleasure; overreactive reflexes; poor coordination; puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue; red skin lesions, often with a purple center; red, irritated eyes; redness of the skin; shivering; sore throat; sores, ulcers, or white spots in the mouth or on the lips; sweating; swelling of the feet or lower legs; talking or acting with excitement you cannot control; tightness in the chest; trembling or shaking; trouble concentrating; trouble sleeping; twitching, twisting, or uncontrolled repetitive movements of the tongue, lips, face, arms, or legs; unusual tiredness or weakness; ",,"Abdominal or stomach cramps; blurred vision; change in consciousness; confusion; dark-colored urine; dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position; fast breathing; loss of consciousness; muscle cramps or spasms; muscle pain or stiffness; nervousness; overactive reflexes; panic states; physical attempt to injure yourself; pounding in the ears; restlessness; seeing, hearing, or feeling things that are not there; seizures; shakiness in the legs, arms, hands, or feet; sweating; trembling or shaking of the hands or feet; violent actions; ","Decreased appetite; headache; nausea; upper abdominal or stomach pain; vomiting; weight decreased; ","Crying; depersonalization; dry mouth; dysphoria; euphoria; paranoia; quick to react or overreact emotionally; rapidly changing moods; sleepiness or unusual drowsiness",,
"lithium",,"Confusion, poor memory, or lack of awareness; fainting; fast, pounding, or irregular heartbeat or pulse; frequent urination; increased thirst; slow heartbeat; stiffness of the arms or legs; troubled breathing (especially during hard work or exercise); unusual tiredness or weakness; weight gain; ","Blue color and pain in the fingers and toes; coldness of the arms and legs; dizziness; eye pain; headache; noise in the ears; vision problems; ","Blurred vision; burning feeling in the chest or stomach; chills; cloudy urine; cough; decreased urination; difficulty in speaking; drooling; dry mouth; eyeballs bulge out of the eye sockets; fever; flushed, dry skin; fruit-like breath odor; general feeling of illness; increase in heart rate; increased hunger; increased urination; indigestion; irregular heartbeat, recurrent; large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or genitals; lightheadedness; loss of balance control; loss of strength or energy; muscle pain or weakness; muscle trembling, jerking, or stiffness; paleness or cold feeling in the fingertips and toes; rapid breathing; restlessness or agitation; shakiness and unsteady walk; shuffling walk; sore throat; stomach pain or upset; sugar in the urine; sunken eyes; swelling of the ankles or wrists; tenderness in the stomach area; tingling or pain in the fingers or toes when exposed to the cold; tremor; twisting movements of the bod; twitching; uncontrolled jerking or twisting movements of the hands, arms, or legs; uncontrolled movements, especially of the face, neck, and back; unexplained weight loss; unsteadiness, trembling, or other problems with muscle control or coordination; unusual drowsiness, dullness, or feeling of sluggishness; unusually strong reflexes; wrinkled skin; ",,,,"Acne or skin rash; bloated feeling or pressure in the stomach; change in or loss of taste; decreased interest in sexual intercourse; diarrhea; drying and thinning of hair; excess air or gas in the stomach or bowels; full feeling; inability to have or keep an erection; increased watering of the mouth; loss in sexual ability, desire, drive, or performance; passing gas; salivary gland swelling; tooth pain; ",,
"lorazepam","Drowsiness; relaxed and calm; sleepiness; ",,,"Abdominal or stomach pain; aggressive, angry; agitation; attack, assault, or force; black, tarry stools; bleeding gums; blood in the urine or stools; bluish lips or skin; blurred vision; change in consciousness; chills; coma; confusion; confusion about identity, place, and time; convulsions; cough or hoarseness; dark urine; decreased urine output; difficulty with breathing or swallowing; difficulty with speaking; discouragement; dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position; drooling; dry mouth; excitation; false or unusual sense of well-being; fast or irregular heartbeat; feeling sad or empty; fever with or without chills; general feeling of tiredness or weakness; headache; hives, itching, or rash; hyperventilation; increased thirst; irregular, fast or slow, or shallow breathing; irritability; loss of appetite; loss of balance control; loss of consciousness; loss of interest or pleasure; loss of memory; lower back or side pain; muscle pain or cramps; muscle trembling, jerking, or stiffness; nausea or vomiting; not breathing; painful or difficult urination; pale or blue lips, fingernails, or skin; pinpoint red spots on the skin; problems with memory; puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue; reddening of the skin, especially around ears; restlessness; seeing, hearing, or feeling things that are not there; seizures; shaking; shuffling walk; sore throat; sores, ulcers, or white spots on the lips or in the mouth; stiffness of the limbs; sweating; swelling of the eyes or inside of the nose; swelling of the face, ankles, or hands; swollen glands; thoughts or attempts at killing oneself; tightness in the chest; trouble concentrating; trouble sleeping; twisting movements of body; uncontrolled movements, especially of the face, neck, and back; unexplained bleeding or bruising; unpleasant breath odor; unusual bleeding or bruising; unusual tiredness or weakness; vomiting of blood; yellow eyes or skin; ",,"Changes in patterns and rhythms of speech; increased sweating; loss of strength or energy; nightmares; shakiness and unsteady walk; slurred speech; trouble speaking; unsteadiness, trembling, or other problems with muscle control or coordination; unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness; unusual excitement, nervousness, restlessness, or irritability; unusual paleness; unusual weak feeling; ",,,,"Being forgetful; clumsiness; constipation; decreased interest in sexual intercourse; disturbed color perception; dizziness or lightheadedness; double vision; drowsiness; feeling of constant movement of self or surroundings; hair loss or thinning of the hair; halos around lights; inability to have or keep an erection; increased in sexual ability, desire, drive, or performance; increased interest in sexual intercourse; lack or loss of self-control; lethargy; loss in sexual ability, desire, drive, or performance; muscle aches, twitching, or weakness; night blindness; overbright appearance of lights; rapid weight gain; sensation of spinning; shakiness in the legs, arms, hands, or feet; shivering; stupor; trembling or shaking of the hands or feet; tunnel vision; weak or feeble pulse"
"loxapine","Difficulty with speaking or swallowing; lip smacking or puckering; loss of balance control; mask-like face; puffing of the cheeks; rapid or fine, worm-like movements of the tongue; restlessness or desire to keep moving; shuffling walk; slowed movements; stiffness of the arms and legs; trembling and shaking of the fingers and hands; uncontrolled chewing movements; uncontrolled movements of the arms or legs; ","Constipation (severe); difficult urination; inability to move the eyes; muscle spasms, especially of the neck and back; skin rash; twisting movements of the body; ","Difficult or fast breathing; fast heartbeat or irregular pulse; fever (high); high or low blood pressure; increased blinking or spasms of the eyelid; increased sweating; loss of bladder control; muscle stiffness (severe); seizures; sore throat and fever; uncontrolled twisting movements of the neck, trunk, arms, or legs; unusual bleeding or bruising; unusual facial expressions or body positions; unusual tiredness or weakness; unusually pale skin; yellow eyes or skin; ",,,,"Blurred vision; confusion; dizziness, lightheadedness, or fainting; drowsiness; dryness of the mouth; ","Constipation (mild); decreased sexual ability; enlargement of the breasts (males and females); headache; increased sensitivity of the skin to sunlight; missing menstrual periods; nausea or vomiting; trouble with sleeping; unusual secretion of milk; weight gain",,
"lurasidone","Absence of or decrease in body movement; difficulty with swallowing; drooling; inability to sit still; incremental or ratchet-like movement of the muscle; loss of balance control; mask-like face; muscle discomfort; muscle trembling, jerking, or stiffness; need to keep moving; restlessness; rigid or stiff muscles; shakiness in the legs, arms, hands, or feet; shuffling walk; slow movements; slow reflexes; slurred speech; stiffness of the arms and legs; tic-like (jerky) movements of the head, face, mouth, and neck; trembling or shaking of the hands or feet; twisting movements of the body; uncontrolled movements, especially of the face, neck, and back; ","Arm, back, or jaw pain; blurred vision; burning while urinating; changes in patterns and rhythms of speech; chest pain or discomfort; chills; cold sweats; confusion; difficult or painful urination; difficulty opening the mouth; difficulty with breathing; dizziness; dizziness, faintness, or lightheadedness when getting up from a lying or sitting position; fast, pounding, or irregular heartbeat or pulse; fixed position of the eye; headache; high fever; inability to move the eyes; inability to speak; increased blinking or spasms of the eyelid; increased sweating; lockjaw; loss of bladder control; muscle spasm, especially of the neck and back; nervousness; pale skin; pounding in the ears; seizures; severe muscle stiffness; severe or sudden headache; slow or fast heartbeat; slurred speech; sticking out of the tongue; sweating; temporary blindness; tiredness; trouble with breathing, speaking, or swallowing; troubled breathing with exertion; uncontrolled twisting movements of the neck, trunk, arms, or legs; unusual bleeding or bruising; unusual facial expressions; unusual tiredness or weakness; unusually pale skin; weakness in the arm or leg on one side of the body, sudden and severe; ","Black, tarry stools; bloody urine; breast pain or swelling; cough; dark-colored urine; decreased frequency or amount of urine; fever; increased thirst; large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs; loss of appetite; lower back or side pain; muscle cramp, pain, or stiffness; nausea; sore throat; sores, ulcers, or white spots on the lips or in the mouth; swelling of the face, fingers, or lower legs; swollen glands; vomiting; weight gain; ","Decreased urine output; hives or welts, itching, skin rash; loss of consciousness; redness of the skin; swelling of the throat or tongue; tightness in the chest; ",,,"Anxiety; belching; drowsiness; dry mouth; heartburn; hyperventilation; indigestion; irritability; relaxed and calm feeling; sleepiness or unusual drowsiness; stomach discomfort, upset, or pain; trouble sleeping; unusually deep sleep; unusually long duration of sleep; ","Abnormal dreams; back pain; blurred vision; burning feeling in the chest or stomach; decreased appetite; diarrhea; feeling of constant movement of self or surroundings; indigestion; sensation of spinning; sweating; tenderness in the stomach area; watering of mouth and drooling; ","Decreased interest in sexual intercourse; inability to have or keep an erection; loss in sexual ability, desire, drive, or performance; unexpected or excess milk flow from the breasts",
"maprotiline","Skin rash, redness, swelling, or itching; ","Constipation (severe); nausea or vomiting; shakiness or trembling; seizures (convulsions); unusual excitement; weight loss; ","Breast enlargement—in males and females;  confusion (especially in the elderly); difficulty in urinating; fainting;  hallucinations (seeing, hearing, or feeling things that are not there); inappropriate secretion of milk—in females; irregular heartbeat (pounding, racing, skipping); sore throat and fever; swelling of testicles ; yellow eyes or skin; ",,,"Convulsions (seizures); dizziness (severe) ; drowsiness (severe);  fast or irregular heartbeat; fever; muscle stiffness or weakness (severe);  restlessness or agitation; trouble in breathing; vomiting; ","Blurred vision; decreased sexual ability ; dizziness or lightheadedness (especially in the elderly); drowsiness; dryness of mouth; headache; increased or decreased sexual drive; tiredness or weakness ; ","Constipation (mild); diarrhea; heartburn; increased appetite and weight gain; increased sensitivity of skin to sunlight; increased sweating; trouble in sleeping ; weight loss; After you stop using this medicine, it may still produce some side effects that need attention. During this period of time, <b>Check with your doctor immediately<b> if you notice the following side effects:",,
"meprobamate",,"Skin rash, hives, or itching; ","Confusion; fast, pounding, or irregular heartbeat; sore throat and fever;  unusual bleeding or bruising; unusual excitement ; wheezing, shortness of breath, or troubled breathing ; ",,,"Confusion (severe); dizziness or lightheadedness (continuing); drowsiness (severe);  shortness of breath or slow or troubled breathing; slow heartbeat; slurred speech;  staggering; weakness (severe); ","Clumsiness or unsteadiness; drowsiness ; ","Blurred vision or change in near or distant vision; diarrhea; dizziness or lightheadedness ; false sense of well-being; headache; nausea or vomiting;  unusual tiredness or weakness; After you stop using this medicine, it may still produce some side effects that need attention. During this period of time, <b>Check with your doctor immediately<b> if you notice the following side effects:; Clumsiness or unsteadiness; confusion ; convulsions (seizures);  hallucinations (seeing, hearing, or feeling things that are not there); increased dreaming; muscle twitching; nausea or vomiting; nervousness or restlessness; nightmares;  trembling; trouble in sleeping",,
"methamphetamine",,,"Agitation; delusions; hallucinations; ","Blurred vision; chest discomfort or pain; dark-colored urine; difficulty breathing; dizziness; faintness; false or unusual sense of wellbeing; fast, pounding, or irregular heartbeat or pulse; fever; headache; muscle cramps or spasms; muscle pain or stiffness; pounding in the ears; restlessness; shakiness in the legs, arms, hands, or feet; swelling of the feet or lower legs; trembling or shaking of the hands or feet; trouble sleeping; twitching, twisting, or uncontrolled repetitive movements of the tongue, lips, face, arms, or legs; uncontrolled vocal outbursts and tics; unusual tiredness or weakness; ",,,,,,"Bad, unusual, or unpleasant (after) taste; change in taste; constipation; decreased interest in sexual intercourse; dry mouth; hives or welts, itching, or skin rash; inability to have or keep an erection; indigestion; loss in sexual ability, desire, drive, or performance; passing of gas; redness of the skin; weight loss; "
"methylphenidate","Fast heartbeat; ","Chest pain; fever; joint pain; skin rash or hives; ","Black, tarry stools; blood in the urine or stools; blurred vision or other changes in vision; crusting, dryness, or flaking of the skin; muscle cramps; pinpoint red spots on the skin; scaling, severe redness, soreness, or swelling of the skin; seizures; uncontrolled vocal outbursts or tics (uncontrolled and repeated body movements); unusual bleeding or bruising; ","Agitation; arm, back or jaw pain; bleeding gums; bloody nose; chest discomfort; chest tightness or heaviness; chills; confusion; cough; dark urine; diarrhea; difficulty with speaking; difficulty with swallowing; discouragement; dizziness; double vision; drowsiness; fainting; fast, pounding, or irregular heartbeat or pulse; feeling like surroundings are not real; feeling sad or empty; feeling that others are watching you or controlling your behavior; feeling that others can hear your thoughts; feeling, seeing, or hearing things that are not there; headache; heavier menstrual periods; inability to move the arms, legs, or facial muscles; inability to speak; irritability; itching skin; large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or genitals; loss of interest or pleasure; mood swings; muscle pain, stiffness, or spasms; nausea; nervousness; numbness of the hands; overactive reflexes; painful or difficult urination; pale skin; paleness or cold feeling in the fingertips and toes; poor coordination; pounding in the ears; puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue; red, irritated eyes; red, swollen, or scaly skin; redness, soreness, or itching skin; restlessness; right upper quadrant tenderness; seeing, hearing, or feeling things that are not there; severe or sudden headache; shivering; slow speech; slowed growth in children; sore throat; sores, ulcers, or white spots on the lips or in the mouth; stuffy or runny nose; sudden loss of coordination; sudden slurring of speech; sweating; swollen glands; talking or acting with excitement you cannot control; tingling or pain in the fingers or toes when exposed to cold temperatures; trembling or shaking; tremor; trouble concentrating; trouble sleeping; troubled breathing with exertion; twitching, twisting, or uncontrolled repetitive movements of the tongue, lips, face, arms, or legs; unusual behavior; unusual tiredness or weakness; weight loss; yellow skin or eyes; ",,,"Loss of appetite; stomach pain; ","Anger; fear; irritability; scalp hair loss; vomiting; ",,
"mirtazapine",,"Decreased or increased movement; mood or mental changes, including abnormal thinking, agitation, anxiety, confusion, and feelings of not caring; shortness of breath; skin rash; swelling; ","Change in menstrual cycle (periods); convulsions (seizures); decreased sexual ability; menstrual pain; mood or mental changes, including anger, feelings of being outside the body, hallucinations (seeing, hearing, or feeling things that are not there), mood swings, and unusual excitement; mouth sores; sore throat, chills, or fever; ",,,,"Constipation; dizziness; drowsiness; dry mouth; increased appetite; weight gain; ","Abdominal or stomach pain; abnormal dreams; back pain; dizziness or fainting when getting up suddenly from a lying or sitting position; increased need to urinate; increased sensitivity to touch; increased thirst; low blood pressure; muscle pain; nausea; sense of constant movement of self or surroundings; trembling or shaking; vomiting; weakness",,
"modafinil",,"Black, tarry stools; blurred vision or other vision changes; chest pain; chills or fever; clumsiness or unsteadiness; confusion; dizziness or fainting; increased thirst and urination; mental depression; problems with memory; rapidly changing moods; shortness of breath; sore throat; trembling or shaking; trouble in urinating; uncontrolled movements of the face, mouth, or tongue; unusual bleeding or bruising; unusual tiredness or weakness; ",,,,"Agitation or excitement; fast or pounding heartbeat; increased blood pressure; trouble with sleeping; ","Anxiety; headache; nausea; nervousness; ","Back pain; belching; decrease in appetite; diarrhea; difficulty having a bowel movement; dryness of the mouth; dryness of the skin; feeling of constant movement of self or surroundings; flushing or redness of the skin; heartburn; indigestion; muscle stiffness; sores, ulcers, or white spots on the lips or in the mouth; sour stomach; stomach discomfort upset or pain; stuffy or runny nose; swelling; tingling, burning, or prickling sensations in the skin; vomiting; ",,
"nadolol",,"Blurred vision; chest pain or discomfort; confusion; dilated neck veins; dizziness, faintness, or lightheadedness when getting up from a lying or sitting position suddenly; extreme fatigue; irregular breathing; lightheadedness, dizziness, or fainting; paleness or cold feeling in fingertips and toes; shortness of breath; slow or irregular heartbeat; sweating; swelling of face, fingers, feet, or lower legs; tingling or pain in fingers or toes when exposed to cold; unusual tiredness or weakness; weight gain; wheezing; ","Burning, crawling, itching, numbness, prickling, pins and needles, or tingling feelings; changes in behavior; cough; difficulty breathing; noisy breathing; slurred speech; tightness in chest; ",,,,,,"Bloated; continuing ringing or buzzing or other unexplained noise in ears; decreased interest in sexual intercourse; diarrhea; difficulty having a bowel movement (stool); drowsiness; dry mouth, eyes, or skin; excess air or gas in stomach or intestines; full feeling; gas in stomach; hair loss, thinning of hair; headache; hearing loss; heartburn; inability to have or keep an erection; itching skin; loss in sexual ability, desire, drive, or performance; loss of appetite; nausea; passing gas; rash; relaxed and calm; sleepiness; stomach pain; stomach soreness or discomfort; stuffy nose; vomiting; weight loss; ",
"nefazodone","Blurred vision or other changes in vision;  clumsiness or unsteadiness; lightheadedness or fainting ; ringing in the ears; skin rash or itching; ","Bladder pain; bloody or cloudy; cough or hoarseness; diarrhea; excessive muscle tone; eye pain; feeling dizzy; frequent urge to urinate ; itching of the vagina or genital area; muscle stiffness; muscle tension or tightness; nausea; pain during sexual intercourse; painful, burning, or difficult urination; shortness of breath, tightness in chest, or wheezing; stomach pain;  thick, white vaginal discharge with no odor or with a mild odor; troubled breathing; ","Asthma; bleeding from the rectum; bloody or black, tarry stools; change in sexual desire or performance; chest pain; double vision; dryness of eye; ear pain; fainting; fast heartbeat; fever, chills, or sore throat; hallucinations (seeing, hearing, or feeling things that are not there); hives; increased sense of hearing; increased sensitivity to sun; irritation or soreness of mouth; joint or muscle pain or stiffness; kidney stones; large pupils of eyes; lower back, side, or stomach pain; menstrual changes; mood or mental changes; nerve pain or twitching; pelvic pain;  problems in speaking; problems with urination;  prolonged, painful, inappropriate penile erection; red or irritated eyes; sensitivity of eyes to light; swelling of face;  swollen glands; talking, feeling, and acting with excitement and activity you cannot control; unusual bleeding or bruising; unusual feeling of well-being ; unusual tiredness or weakness; vomiting of blood or material that looks like coffee grounds; ","Blistering, peeling, or loosening of skin;  light-colored stools; confusion;  dark urine; decreased urine output; fever; increased thirst; itching; lack of appetite; large, hive-like swelling on face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs; muscle pain or cramps; muscle spasm or jerking of all extremities ; muscle stiffness; pain, warmth, or burning in fingers, toes, and legs; red skin lesions, often with a purple center; sore throat ; sudden loss of consciousness;  sweating; vomiting; ",,,"Abnormal dreams; agitation; confusion; constipation; diarrhea; dizziness;  drowsiness; dryness of mouth;  flushing or feeling of warmth; headache; heartburn; increased appetite; increased cough; memory problems; nausea; swelling of arms or legs; tingling, burning, or prickly sensations;  tremor; trouble in sleeping;  vomiting; ","r rare; Breast pain; generalized slowing of mental and physical activity; increased thirst; loss of strength or energy; muscle weakness ; ",,"Unexpected or excess milk flow from breasts;  swelling of the breasts or breast soreness in males"
"niacin",,"Darkening of urine; light gray-colored stools; loss of appetite; severe stomach pain; yellow eyes or skin; ",,,,,,"Abdominal or stomach pain; cough; diarrhea; feeling of warmth; flushing or redness of the skin, especially on the face and neck; headache; nausea or vomiting; rash or itching; runny nose; sneezing; stuffy nose; ",,"Dizziness or faintness; dryness of the skin; fever; frequent urination; joint pain; muscle aching or cramping; side, lower back, or stomach pain; swelling of the feet or lower legs; unusual thirst; unusual tiredness or weakness; unusually fast, slow, or irregular heartbeat; "
"nortriptyline",,,,"Agitation; blurred vision; burning, crawling, itching, numbness, prickling, pins and needles, or tingling feelings; chest pain or discomfort; clay-colored stools; cold sweats; confusion about identity, place, and time false beliefs that cannot be changed by facts; continuing ringing or buzzing or other unexplained noise in the ears; decreased urination; deep or fast breathing with dizziness; depression; difficulty in passing urine (dribbling); difficulty with speaking; dizziness, fainting, or lightheadedness when getting up suddenly from a lying or sitting position; double vision; fast, pounding, or irregular heartbeat or pulse; feeling of warmth; feeling, seeing, or hearing things that are not there; feeling that others are watching you or controlling your behavior; feeling that others can hear your thoughts; general feeling of tiredness or weakness; hives or welts; hostility; inability to move the arms, legs, or facial muscles; inability to speak; irritability; labored breathing, especially at night; loss of balance control; loss of consciousness; lower back or side pain; mood or mental changes; muscle spasm, trembling, jerking, or stiffness; nightmares; numbness of the feet, hands, and around mouth; pain or discomfort in the arms, jaw, back, or neck; painful or difficult urination; panic; perspiration; pinpoint red or purple spots on the skin; redness of the face, neck, arms, and occasionally, upper chest; restlessness; seizures; slurred speech; sores, ulcers, or white spots on the lips or in the mouth; stiffness of the limbs; stomach pain; sweating; swelling of the face, ankles, legs, or hands; swollen, painful, or tender lymph glands on side of face or neck; talking, feeling, and acting with excitement; trouble sleeping; twisting movements of the body uncontrolled movements, especially of the face, neck, and back; unexplained fainting; weakness in the arms, hands, legs, or feet; ",,"Chest pain or tightness; clumsiness; cold, clammy skin; confusion; decreased awareness or responsiveness; decreased urine output; dilated neck veins; extreme tiredness or weakness; fainting; fast, slow, or irregular heartbeat; fast, weak pulse; increased or excessive unconscious or jerking movements; irregular breathing; lightheadedness; loss of consciousness; low body temperature; muscle stiffness, weakness, or tightness; restlessness; seeing things that are not there; seizures; severe sleepiness; shivering; swelling of the face, fingers, feet, or lower legs; troubled breathing; weak or feeble pulse; weight gain; ",,,,"Bigger, dilated, or enlarged pupils (black part of the eye); black tongue; decreased interest in sexual ability or desire; difficulty having a bowel movement; enlargement of the breast; hair loss or thinning of the hair; heartburn; increase in sexual ability or desire; increased sensitivity of the eyes or skin to light; pain or discomfort in the chest, upper stomach, or throat; peculiar taste; severe sunburn; small red or purple spots on the skin; swelling of the testicles; swelling or inflammation of the mouth; waking to urinate at night"
